Object ID,Label,Probability,Object X,Object Y,Object Z,Vx,Vy,Vz,Covariance_00,Covariance_01,Covariance_02,Covariance_03,Covariance_04,Covariance_05,Self Position X,Self Position Y,Self Position Z
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.44245692057,57976.8081068999,283.032836914062,-0.344212844117874,0,0,1.67947970238282,-0.166798310344745,0,0,0,0,4054.3238634354,57971.7898269809,283.713454164396
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.53563550816,57976.7890985552,283.038635253906,-0.386499120892098,0,0,1.35846951530456,-0.132862094103323,0,0,0,0,4054.3238634354,57971.7898269809,283.713454164396
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.57398851727,57976.7842951591,283.038635253906,-0.386499120892098,0,0,1.69736477538624,-0.161542298535987,0,0,0,0,4054.3238634354,57971.7898269809,283.713454164396
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.69746062594,57976.7849961845,283.035308837891,-0.445186207851788,0,0,1.36577962665115,-0.139190313772704,0,0,0,0,4054.3918634354,57971.8850269809,283.711933726792
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.74165036687,57976.7793973772,283.035308837891,-0.445186207851788,0,0,1.70664561786981,-0.168705441105494,0,0,0,0,4054.3918634354,57971.8850269809,283.711933726792
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.78578652395,57976.7738053589,283.035308837891,-0.445186207851788,0,0,2.09495549511702,-0.201686234393887,0,0,0,0,4054.4840634354,57972.0130269809,283.707973773862
8919632e3e824350ec5c0cd8a31749f4,1,1,4056.95376576128,57976.7709197845,283.039123535156,-0.525488140598839,0,0,1.71583261164229,-0.162443250143163,0,0,0,0,4054.4840634354,57972.0130269809,283.707973773862
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.00592375938,57976.7645141584,283.039123535156,-0.525488140598839,0,0,2.10630110360501,-0.194430789548159,0,0,0,0,4054.4840634354,57972.0130269809,283.707973773862
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.33489039059,57976.8201983901,283.055908203125,-0.702438406569958,0,0,1.53995290359981,-0.157698531204314,0,0,0,0,4054.6093634354,57972.1898269809,283.704108140037
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.40464096454,57976.8118828601,283.055908203125,-0.702438406569958,0,0,1.9209176131522,-0.190498503167658,0,0,0,0,4054.6093634354,57972.1898269809,283.704108140037
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.54200394299,57976.7388587505,283.06396484375,-0.75398363060849,0,0,1.49485797495931,-0.145776798900946,0,0,0,0,4054.7752634354,57972.4262269809,283.70161918504
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.61683642054,57976.7296154635,283.06396484375,-0.75398363060849,0,0,1.86994171111939,-0.177950906455117,0,0,0,0,4054.7752634354,57972.4262269809,283.70161918504
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.84059742819,57976.6745915623,283.073760986328,-0.863605629562993,0,0,1.47251500442839,-0.149650131135837,0,0,0,0,4054.7752634354,57972.4262269809,283.70161918504
8919632e3e824350ec5c0cd8a31749f4,1,1,4057.92624678989,57976.6635557392,283.073760986328,-0.863605629562993,0,0,1.84215970254894,-0.18248076097198,0,0,0,0,4054.7752634354,57972.4262269809,283.70161918504
8919632e3e824350ec5c0cd8a31749f4,1,1,4058.34859185153,57976.6626126166,283.084564208984,-1.10288051535847,0,0,1.45319459084595,-0.15240191080479,0,0,0,0,4054.7752634354,57972.4262269809,283.70161918504
8919632e3e824350ec5c0cd8a31749f4,1,1,4058.45800203891,57976.6488747222,283.084564208984,-1.10288051535847,0,0,1.81710998193436,-0.184125033155993,0,0,0,0,4055.2515634354,57973.1078269809,283.690030859466
8919632e3e824350ec5c0cd8a31749f4,1,1,4058.68277716845,57976.5308153705,283.086120605469,-1.19369747984496,0,0,1.43133291898729,-0.166221343150148,0,0,0,0,4055.2515634354,57973.1078269809,283.690030859466
8919632e3e824350ec5c0cd8a31749f4,1,1,4058.80085511351,57976.5132709036,283.086120605469,-1.19369747984496,0,0,1.78852611032067,-0.201760658579268,0,0,0,0,4055.2515634354,57973.1078269809,283.690030859466
8919632e3e824350ec5c0cd8a31749f4,1,1,4059.07768879534,57976.4491901314,283.082366943359,-1.30582592905304,0,0,1.59814731001238,-0.187708844183196,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4059.47931126825,57976.456215628,283.091461181641,-1.498062351605,0,0,1.32939303686726,-0.155028319614292,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4059.6275325461,57976.4344611623,283.091461181641,-1.498062351605,0,0,1.66566971666914,-0.186942185109691,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4059.84618106473,57976.34348415,283.099609375,-1.55457759601849,0,0,1.35200061363598,-0.165735458364406,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4059.99961260177,57976.3184151696,283.099609375,-1.55457759601849,0,0,1.6902167593486,-0.200552682721669,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4060.31763565848,57976.2115343929,283.100433349609,-1.67820137997436,0,0,1.3610094820756,-0.167822812031864,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4060.48293384269,57976.1825444247,283.100433349609,-1.67820137997436,0,0,1.69980172342978,-0.203855549370961,0,0,0,0,4055.5940634354,57973.5936269809,283.681177980403
8919632e3e824350ec5c0cd8a31749f4,1,1,4060.80785092074,57976.1758170096,283.105194091797,-1.78568416014518,0,0,1.35656126405832,-0.181777556037465,0,0,0,0,4057.2462634354,57975.8666269809,283.668735033906
8919632e3e824350ec5c0cd8a31749f4,1,1,4060.98386080049,57976.1456931176,283.105194091797,-1.78568416014518,0,0,1.69524830438805,-0.218593910417164,0,0,0,0,4057.2462634354,57975.8666269809,283.668735033906
8919632e3e824350ec5c0cd8a31749f4,1,1,4061.20284057295,57976.1754657098,283.110534667969,-1.80862198920193,0,0,1.36444460520021,-0.170190051471905,0,0,0,0,4057.2462634354,57975.8666269809,283.668735033906
8919632e3e824350ec5c0cd8a31749f4,1,1,4061.38149658954,57976.1472697251,283.110534667969,-1.80862198920193,0,0,1.70508988256053,-0.204086951929932,0,0,0,0,4058.0116634354,57976.8822269809,283.665222981233
