Object ID,Label,Probability,Object X,Object Y,,,,,,Object Z,Vx,Vy,Vz,Covariance_00,Covariance_01,Covariance_02,Covariance_03,Covariance_04,Covariance_05,Self Position X,Self Position Y,Self Position Z,,,
7af29626468ebb9ba224a7ecfa792e6f,1,1,4056.66810493912,57977.0451310424,6.31658311612082,4054.04956054688,57971.296875,2.61854439223998,5.74825604240323,283.198028564453,-0.510434209684906,0,0,1.44909130485204,-0.15599095971249,0,0,0,0,4054.04956054688,57971.296875,,,4056.66810493912,57977.0451310424
7af29626468ebb9ba224a7ecfa792e6f,1,1,4056.81416109334,57976.9995646871,6.33748261128432,4054.04956054688,57971.296875,2.76460054645986,5.70268968710298,283.184112548828,-0.584141759544143,0,0,1.17855962117535,-0.124268682964408,0,0,0,0,4054.04956054688,57971.296875,,,4056.81416109334,57976.9995646871
7af29626468ebb9ba224a7ecfa792e6f,1,1,4056.87201431905,57976.9915071449,6.35571243540827,4054.04956054688,57971.296875,2.82245377216987,5.69463214489952,283.184112548828,-0.584141759544143,0,0,1.48820250525481,-0.153017746800664,0,0,0,0,4054.2212634354,57971.5296269809,283.720916974512,,4057.04371720757,57977.2242591258
7af29626468ebb9ba224a7ecfa792e6f,1,1,4057.11913882833,57977.0153774837,6.49026821337838,4054.04956054688,57971.296875,3.06957828145005,5.71850248370174,283.188568115234,-0.711870156044995,0,0,1.35404605832849,-0.133876644534027,0,0,0,0,4054.2212634354,57971.5296269809,283.720916974512,,4057.29084171685,57977.2481294646
7af29626468ebb9ba224a7ecfa792e6f,1,1,4057.18972961563,57977.0061575219,6.51587052470792,4054.04956054688,57971.296875,3.14016906874986,5.7092825219006,283.188568115234,-0.711870156044995,0,0,1.68796900398392,-0.161751540445567,0,0,0,0,4054.2212634354,57971.5296269809,283.720916974512,,4057.36143250415,57977.2389095028
7af29626468ebb9ba224a7ecfa792e6f,1,1,4057.39199029748,57976.9292843484,6.54949400378118,4054.04956054688,57971.296875,3.34242975059988,5.63240934839996,283.181854248047,-0.808321943927856,0,0,1.42849668615368,-0.152625487376796,0,0,0,0,4054.2212634354,57971.5296269809,283.720916974512,,4057.563693186,57977.1620363293
7af29626468ebb9ba224a7ecfa792e6f,1,1,4057.69479298035,57976.8725071213,6.66148579868534,4054.04956054688,57971.296875,3.64523243347003,5.57563212129753,283.182037353516,-0.974331293134774,0,0,1.15969746222336,-0.13989912307319,0,0,0,0,4054.2212634354,57971.5296269809,283.720916974512,,4057.86649586887,57977.1052591022
7af29626468ebb9ba224a7ecfa792e6f,1,1,4057.79120682197,57976.858326765,6.70295924072542,4054.04956054688,57971.296875,3.74164627508981,5.56145176500286,283.182037353516,-0.974331293134774,0,0,1.46520188776606,-0.170134627394886,0,0,0,0,4054.4397634354,57971.8529269809,283.713977322749,,4058.18140971049,57977.4143787459
7af29626468ebb9ba224a7ecfa792e6f,1,1,4058.11963734138,57976.7893766321,6.83616115170949,4054.04956054688,57971.296875,4.07007679449998,5.49250163209945,283.180938720703,-1.14697199809812,0,0,1.17588317778417,-0.151769974669093,0,0,0,0,4054.4397634354,57971.8529269809,283.713977322749,,4058.5098402299,57977.345428613
7af29626468ebb9ba224a7ecfa792e6f,1,1,4058.23294922851,57976.7715797727,6.8900749785158,4054.04956054688,57971.296875,4.18338868162982,5.47470477269962,283.180938720703,-1.14697199809812,0,0,1.48454007603193,-0.184266649087959,0,0,0,0,4054.4397634354,57971.8529269809,283.713977322749,,4058.62315211703,57977.3276317536
7af29626468ebb9ba224a7ecfa792e6f,1,1,4058.50042950695,57976.7092493794,7.00742684030424,4054.04956054688,57971.296875,4.45086896006978,5.41237437939708,283.178009033203,-1.2577170124676,0,0,1.34721349352131,-0.162775417214069,0,0,0,0,4054.4397634354,57971.8529269809,283.713977322749,,4058.89063239547,57977.2653013603
7af29626468ebb9ba224a7ecfa792e6f,1,1,4058.62457287694,57976.6891492533,7.07158818392306,4054.04956054688,57971.296875,4.57501233005996,5.39227425330319,283.178009033203,-1.2577170124676,0,0,1.67956487980258,-0.195967573113615,0,0,0,0,4054.4397634354,57971.8529269809,283.713977322749,,4059.01477576546,57977.2452012342
7af29626468ebb9ba224a7ecfa792e6f,1,1,4058.99285506385,57976.6253690008,7.26835669171621,4054.04956054688,57971.296875,4.94329451697013,5.32849400080158,283.173980712891,-1.42816793165922,0,0,1.42351731622133,-0.173812704748357,0,0,0,0,4054.8534634354,57972.4735269809,283.707603808229,,4059.79675795237,57977.8020209817
7af29626468ebb9ba224a7ecfa792e6f,1,1,4059.13377084797,57976.6022133138,7.34818406202726,4054.04956054688,57971.296875,5.08421030109002,5.30533831380308,283.173980712891,-1.42816793165922,0,0,1.76827756348175,-0.208842543398498,0,0,0,0,4054.8534634354,57972.4735269809,283.707603808229,,4059.93767373649,57977.7788652947
7af29626468ebb9ba224a7ecfa792e6f,1,1,4059.54740873191,57976.5062014203,7.57386403486576,4054.04956054688,57971.296875,5.49784818502985,5.20932642029948,283.172302246094,-1.61942123427865,0,0,1.46297693630636,-0.18700853953081,0,0,0,0,4054.8534634354,57972.4735269809,283.707603808229,,4060.35131162043,57977.6828534012
7af29626468ebb9ba224a7ecfa792e6f,1,1,4059.70697703318,57976.4785593418,7.67178036165246,4054.04956054688,57971.296875,5.65741648630001,5.18168434179825,283.172302246094,-1.61942123427865,0,0,1.81435783936498,-0.224386538727485,0,0,0,0,4055.1470634354,57972.9185269809,283.702166354672,,4060.8044799217,57978.1002113227
7af29626468ebb9ba224a7ecfa792e6f,1,1,4060.21167494862,57976.3764398339,7.98583951768954,4054.04956054688,57971.296875,6.16211440173993,5.07956483389717,283.169921875,-1.85850067171813,0,0,1.48841926538784,-0.185549885421773,0,0,0,0,4055.1470634354,57972.9185269809,283.702166354672,,4061.30917783714,57977.9980918148
7af29626468ebb9ba224a7ecfa792e6f,1,1,4060.66839640143,57976.288418989,8.29002409304047,4054.04956054688,57971.296875,6.61883585455007,4.99154398900282,283.169494628906,-2.06121492143717,0,0,1.19178043044031,-0.151068877921985,0,0,0,0,4055.5221634354,57973.4835269809,283.697712280554,,4062.14099928995,57978.4750709699
7af29626468ebb9ba224a7ecfa792e6f,1,1,4060.87136294357,57976.2524971121,8.43179568406425,4054.04956054688,57971.296875,6.82180239669015,4.95562211210199,283.169494628906,-2.06121492143717,0,0,1.50363352463183,-0.183630345288919,0,0,0,0,4055.5221634354,57973.4835269809,283.697712280554,,4062.34396583209,57978.439149093
7af29626468ebb9ba224a7ecfa792e6f,1,1,4061.07432869617,57976.2165753751,8.57617743120701,4054.04956054688,57971.296875,7.02476814929014,4.91970037510328,283.169494628906,-2.06121492143717,0,0,1.86282178698133,-0.220212292247159,0,0,0,0,4055.5221634354,57973.4835269809,283.697712280554,,4062.54693158469,57978.403227356
7af29626468ebb9ba224a7ecfa792e6f,1,1,4061.50230283397,57976.1233098439,8.87906756928972,4054.04956054688,57971.296875,7.45274228709013,4.826434843897,283.166839599609,-2.21811866348013,0,0,1.5150705579253,-0.171742896621159,0,0,0,0,4055.9750634354,57974.1570269809,283.696438244501,,4063.42780572249,57978.9834618248
7af29626468ebb9ba224a7ecfa792e6f,1,1,4061.72074315018,57976.0847208202,9.04270480174857,4054.04956054688,57971.296875,7.67118260330017,4.78784582020307,283.166839599609,-2.21811866348013,0,0,1.87669969745968,-0.206568604696425,0,0,0,0,4055.9750634354,57974.1570269809,283.696438244501,,4063.6462460387,57978.9448728011
7af29626468ebb9ba224a7ecfa792e6f,1,1,4062.21860646083,57976.0018862092,9.42711205106542,4054.04956054688,57971.296875,8.16904591394996,4.70501120919653,283.160064697266,-2.4118309514636,0,0,1.3518993809727,-0.163159241497627,0,0,0,0,4056.5223634354,57974.9483269809,283.693614654544,,4064.69140934935,57979.6533381901
