Object ID,Label,Probability,Object X,Object Y,Object Z,Vx,Vy,Vz,Covariance_00,Covariance_01,Covariance_02,Covariance_03,Covariance_04,Covariance_05,Self Position X,Self Position Y,Self Position Z
465350bb13da406c6a24a3f06b164ab1,1,1,4057.65346993516,57976.857750811,283.186828613281,-0.664885134997568,0,0,1.33773634096377,-0.143237138799708,0,0,0,0,4053.7626634354,57971.3042269809,283.665419960727
465350bb13da406c6a24a3f06b164ab1,1,1,4057.71933451242,57976.8486699697,283.186828613281,-0.664885134997568,0,0,1.67176726904216,-0.173787316028557,0,0,0,0,4053.7626634354,57971.3042269809,283.665419960727
465350bb13da406c6a24a3f06b164ab1,1,1,4058.01652571136,57976.8370834856,283.190185546875,-0.825539854971234,0,0,1.35645952862942,-0.149736929990701,0,0,0,0,4053.7626634354,57971.3042269809,283.665419960727
465350bb13da406c6a24a3f06b164ab1,1,1,4058.09831973733,57976.82584612,283.190185546875,-0.825539854971234,0,0,1.69417845134478,-0.180866282229291,0,0,0,0,4053.7631634354,57971.3046269809,283.664626528639
465350bb13da406c6a24a3f06b164ab1,1,1,4058.32669894766,57976.7430430873,283.186401367188,-0.933448501166585,0,0,1.37096450945248,-0.141096781401734,0,0,0,0,4053.7631634354,57971.3046269809,283.664626528639
465350bb13da406c6a24a3f06b164ab1,1,1,4058.41918049473,57976.7302002876,283.186401367188,-0.933448501166585,0,0,1.71139274128292,-0.171719121793864,0,0,0,0,4053.7670634354,57971.3080269809,283.659927031924
465350bb13da406c6a24a3f06b164ab1,1,1,4058.64872079195,57976.6836994365,283.183929443359,-1.02778448514676,0,0,1.53880415617137,-0.172752241302345,0,0,0,0,4053.7670634354,57971.3080269809,283.659927031924
465350bb13da406c6a24a3f06b164ab1,1,1,4059.03374537585,57976.6165484342,283.182525634766,-1.23237089816507,0,0,1.29439036712358,-0.124979746051714,0,0,0,0,4053.7670634354,57971.3080269809,283.659927031924
465350bb13da406c6a24a3f06b164ab1,1,1,4059.15578612017,57976.5994023283,283.182525634766,-1.23237089816507,0,0,1.62142821038148,-0.152891058403528,0,0,0,0,4053.7895634354,57971.3365269809,283.65510690882
465350bb13da406c6a24a3f06b164ab1,1,1,4059.58835853167,57976.566293812,283.180847167969,-1.45038403915615,0,0,1.34025146568985,-0.12514475118893,0,0,0,0,4053.7895634354,57971.3365269809,283.65510690882
465350bb13da406c6a24a3f06b164ab1,1,1,4059.73218338455,57976.5474976189,283.180847167969,-1.45038403915615,0,0,1.67526602566077,-0.151976979344689,0,0,0,0,4053.8343634354,57971.3946269809,283.654713535652
465350bb13da406c6a24a3f06b164ab1,1,1,4060.36205689704,57976.4736118844,283.176177978516,-1.7930771193553,0,0,1.36476208752985,-0.12367752431446,0,0,0,0,4053.8343634354,57971.3946269809,283.654713535652
465350bb13da406c6a24a3f06b164ab1,1,1,4060.53995421045,57976.451197453,283.176177978516,-1.7930771193553,0,0,1.70427584664746,-0.149335066524365,0,0,0,0,4053.8343634354,57971.3946269809,283.654713535652
465350bb13da406c6a24a3f06b164ab1,1,1,4061.2530733278,57976.3663844548,283.179656982422,-2.16976506707878,0,0,1.37920556968777,-0.103984720611887,0,0,0,0,4053.8998634354,57971.4787269809,283.65343666663
465350bb13da406c6a24a3f06b164ab1,1,1,4061.46861358712,57976.3411229723,283.179656982422,-2.16976506707878,0,0,1.72174839305323,-0.125689584549335,0,0,0,0,4053.8998634354,57971.4787269809,283.65343666663
465350bb13da406c6a24a3f06b164ab1,1,1,4062.06020685412,57976.2580109302,283.176361083984,-2.4358349759171,0,0,1.38933149093695,-0.093736100665413,0,0,0,0,4053.9924634354,57971.5956269809,283.651673430534
465350bb13da406c6a24a3f06b164ab1,1,1,4062.30223144231,57976.2305109723,283.176361083984,-2.4358349759171,0,0,1.73397831484301,-0.113485118970635,0,0,0,0,4053.9924634354,57971.5956269809,283.651673430534
465350bb13da406c6a24a3f06b164ab1,1,1,4063.0016911235,57976.1923182503,283.175842285156,-2.75412161875744,0,0,1.39707007435844,-0.087761499236868,0,0,0,0,4053.9924634354,57971.5956269809,283.651673430534
465350bb13da406c6a24a3f06b164ab1,1,1,4063.27573018865,57976.1649009765,283.175842285156,-2.75412161875744,0,0,1.74363721598072,-0.10506159060568,0,0,0,0,4054.1142634354,57971.7521269809,283.648996942224
465350bb13da406c6a24a3f06b164ab1,1,1,4063.93599149125,57976.0665261593,283.172088623047,-3.02829127863339,0,0,1.39905585634673,-0.098735508155304,0,0,0,0,4054.1142634354,57971.7521269809,283.648996942224
465350bb13da406c6a24a3f06b164ab1,1,1,4064.46267352652,57975.9998292614,283.166137695313,-3.19277250333207,0,0,1.25531182214536,-0.093095203553386,0,0,0,0,4054.2775634354,57971.9638269809,283.646628804643
465350bb13da406c6a24a3f06b164ab1,1,1,4064.78007644574,57975.9652208077,283.166137695313,-3.19277250333207,0,0,1.57777017538961,-0.111181614461137,0,0,0,0,4054.2775634354,57971.9638269809,283.646628804643
465350bb13da406c6a24a3f06b164ab1,1,1,4065.41779320146,57975.8148890084,283.158905029297,-3.42870004817632,0,0,1.32235997772699,-0.09929909492481,0,0,0,0,4054.2775634354,57971.9638269809,283.646628804643
465350bb13da406c6a24a3f06b164ab1,1,1,4065.75800936826,57975.7722975529,283.158905029297,-3.42870004817632,0,0,1.65528745190815,-0.11901199190598,0,0,0,0,4054.4848634354,57972.2352269809,283.642249938505
