Object ID,Label,Probability,Object X,Object Y,Object Z,Vx,Vy,Vz,Covariance_00,Covariance_01,Covariance_02,Covariance_03,Covariance_04,Covariance_05,Self Position X,Self Position Y,Self Position Z
b1d1737babb145c6675a1a5944c37d15,1,1,4056.21729433549,57976.9202703213,283.027526855469,-0.498970496962487,0,0,1.74812281317067,-0.111191487999276,0,0,0,0,,,
b1d1737babb145c6675a1a5944c37d15,1,1,4056.48068212533,57976.8997273997,283.031951904297,-0.64795438707767,0,0,1.41066598862001,-0.092860700797871,0,0,0,0,4054.4979634354,57972.1812269809,283.676274499043
b1d1737babb145c6675a1a5944c37d15,1,1,4056.54528426676,57976.894376916,283.031951904297,-0.64795438707767,0,0,1.75872690631105,-0.112395953696978,0,0,0,0,4054.4979634354,57972.1812269809,283.676274499043
b1d1737babb145c6675a1a5944c37d15,1,1,4056.93949323025,57976.866562789,283.039154052734,-0.877783988980752,0,0,1.41693007379231,-0.09227644819406,0,0,0,0,4054.4979634354,57972.1812269809,283.676274499043
b1d1737babb145c6675a1a5944c37d15,1,1,4057.02698316057,57976.8594116142,283.039154052734,-0.877783988980752,0,0,1.76634662273499,-0.111489001702841,0,0,0,0,4054.5494634354,57972.2498269809,283.675607058712
b1d1737babb145c6675a1a5944c37d15,1,1,4057.48082273374,57976.8021449419,283.046051025391,-1.13485496721965,0,0,1.41505685753637,-0.108199383897071,0,0,0,0,4054.5494634354,57972.2498269809,283.675607058712
b1d1737babb145c6675a1a5944c37d15,1,1,4057.59382989476,57976.7917211063,283.046051025391,-1.13485496721965,0,0,1.7645258545332,-0.130047037701385,0,0,0,0,4054.6199634354,57972.3470269809,283.675368491477
b1d1737babb145c6675a1a5944c37d15,1,1,4058.01083532392,57976.7639372665,283.060363769531,-1.34706957749972,0,0,1.42093124000548,-0.100891792486762,0,0,0,0,4054.6199634354,57972.3470269809,283.675368491477
b1d1737babb145c6675a1a5944c37d15,1,1,4058.14504473347,57976.7518810476,283.060363769531,-1.34706957749972,0,0,1.77173262218876,-0.121481316746834,0,0,0,0,4054.6199634354,57972.3470269809,283.675368491477
b1d1737babb145c6675a1a5944c37d15,1,1,4058.60430536521,57976.6863294118,283.069183349609,-1.57621661311184,0,0,1.41829225568659,-0.116309099241041,0,0,0,0,4054.7077634354,57972.4651269809,283.675314245578
b1d1737babb145c6675a1a5944c37d15,1,1,4058.76116187394,57976.6704367419,283.069183349609,-1.57621661311184,0,0,1.76869828321248,-0.139649345939267,0,0,0,0,4054.7077634354,57972.4651269809,283.675314245578
b1d1737babb145c6675a1a5944c37d15,1,1,4059.34795599363,57976.5755362048,283.078002929687,-1.87999977055523,0,0,1.42119076072738,-0.11725080392687,0,0,0,0,4054.8129634354,57972.6070269809,283.674803605925
b1d1737babb145c6675a1a5944c37d15,1,1,4059.53484288163,57976.5548296768,283.078002929687,-1.87999977055523,0,0,1.77195435507549,-0.141258241878497,0,0,0,0,4054.8129634354,57972.6070269809,283.674803605925
b1d1737babb145c6675a1a5944c37d15,1,1,4060.18776906922,57976.4927725146,283.091400146484,-2.20653374937091,0,0,1.42076879273972,-0.123313305047505,0,0,0,0,4054.8129634354,57972.6070269809,283.674803605925
b1d1737babb145c6675a1a5944c37d15,1,1,4060.40705857718,57976.4680546047,283.091400146484,-2.20653374937091,0,0,1.77154954338269,-0.147578723368016,0,0,0,0,4054.9347634354,57972.7698269809,283.673378648088
b1d1737babb145c6675a1a5944c37d15,1,1,4061.03680504513,57976.3624242544,283.094543457031,-2.48711016562766,0,0,1.46276280347338,-0.197685454973122,0,0,0,0,4054.9347634354,57972.7698269809,283.673378648088
b1d1737babb145c6675a1a5944c37d15,1,1,4061.2828148313,57976.3256796343,283.094543457031,-2.48711016562766,0,0,1.81422694254566,-0.232661575552666,0,0,0,0,4055.0837634354,57972.9709269809,283.671406564488
b1d1737babb145c6675a1a5944c37d15,1,1,4062.17024175474,57976.0824114568,283.105041503906,-2.93242686602632,0,0,1.4497513188645,-0.171159519929292,0,0,0,0,4055.0837634354,57972.9709269809,283.671406564488
b1d1737babb145c6675a1a5944c37d15,1,1,4062.45909416121,57976.0315487945,283.105041503906,-2.93242686602632,0,0,1.81658879857244,-0.206771105854164,0,0,0,0,4055.0837634354,57972.9709269809,283.671406564488
b1d1737babb145c6675a1a5944c37d15,1,1,4063.4311241031,57975.9395890293,283.108093261719,-3.41439213636697,0,0,1.47387604570215,-0.154454970421976,0,0,0,0,4055.2667634354,57973.2192269809,283.667514571616
b1d1737babb145c6675a1a5944c37d15,1,1,4063.76819432746,57975.8848122613,283.108093261719,-3.41439213636697,0,0,1.84574868898525,-0.184559212624332,0,0,0,0,4055.2667634354,57973.2192269809,283.667514571616
b1d1737babb145c6675a1a5944c37d15,1,1,4064.71226610522,57975.7696084176,283.112518310547,-3.85158989902602,0,0,1.48158660474171,-0.144324994552905,0,0,0,0,4055.2667634354,57973.2192269809,283.667514571616
b1d1737babb145c6675a1a5944c37d15,1,1,4065.40358248335,57975.6358853264,283.113983154297,-4.08717544360855,0,0,1.32641480202843,-0.126053923021399,0,0,0,0,4055.5039634354,57973.5429269809,283.663626899272
b1d1737babb145c6675a1a5944c37d15,1,1,4065.80700596897,57975.5701776348,283.113983154297,-4.08717544360855,0,0,1.66840347189965,-0.149604972065321,0,0,0,0,4055.5039634354,57973.5429269809,283.663626899272
